,City,Country,Max Temp,Latitude,Longitude,Hotel Name
0,Polonnaruwa,LK,83.79,7.9333,81.0,Devi Tourist Home
3,Ahipara,NZ,70.52,-35.1667,173.1667,YHA Ahipara
4,Rikitea,PF,74.23,-23.1203,-134.9692,Chez Bianca & Benoit
5,Avarua,CK,77.05,-21.2078,-159.775,Paradise Inn
7,Sur,OM,76.41,22.5667,59.5289,Sur Hotel
9,Kapaa,US,77.32,22.0752,-159.319,Pono Kai Resort
10,Butaritari,KI,81.36,3.0707,172.7902,No hotel found
17,Paso De Carrasco,UY,72.95,-34.8603,-56.0522,No hotel found
18,Tibiao,PH,85.6,11.2915,122.0354,Gem's Crystal Blue Resort
20,Richards Bay,ZA,76.44,-28.783,32.0377,Protea Hotel
22,Busselton,AU,80.19,-33.65,115.3333,No hotel found
23,Saint-Philippe,RE,80.19,-21.3585,55.7679,Le Baril
26,Airai,TL,73.04,-8.9266,125.4092,No hotel found
27,Santa Cruz,BO,78.26,-17.8,-63.1667,Aviador Hotel Boutique
28,Sibu,MY,86.31,2.3,111.8167,The Paramount Hotel
32,Vila Velha,BR,73.35,-20.3297,-40.2925,Hotel Prainha
34,Kayes,ML,70.0,14.0,-11.0,No hotel found
38,Ambilobe,MG,84.81,-13.2,49.05,Hôtel National
39,Vaini,TO,73.56,-21.2,-175.2,Keleti International Resort
44,Kavieng,PG,81.05,-2.5744,150.7967,Kavieng Hotel
48,Fuerte Olimpo,PY,78.82,-21.0415,-57.8738,No hotel found
54,San Rafael,AR,70.03,-34.6177,-68.3301,Hotel Regional
58,Arraial Do Cabo,BR,71.02,-22.9661,-42.0278,No hotel found
59,Mahebourg,MU,80.89,-20.4081,57.7,Grand Bel Air
62,Tautira,PF,79.74,-17.7333,-149.15,No hotel found
63,Port-Gentil,GA,79.25,-0.7193,8.7815,Tara-Mé
64,Muncar,ID,85.59,-8.4333,114.3333,No hotel found
65,Atar,MR,71.58,20.5169,-13.0499,فندق سكليل
67,Atuona,PF,78.08,-9.8,-139.0333,Pearl Resort
68,Matara,LK,83.57,5.9485,80.5353,Villa Palm Breeze
75,Nhulunbuy,AU,81.21,-12.2333,136.7667,No hotel found
78,Oriximina,BR,75.92,-1.7656,-55.8661,No hotel found
80,Cape Town,ZA,72.91,-33.9258,18.4232,Townhouse Hotel
85,Hilo,US,74.28,19.7297,-155.09,Dolphin Bay Hotel
87,Hobyo,SO,78.3,5.3505,48.5268,No hotel found
93,Hithadhoo,MV,81.7,-0.6,73.0833,Pebbles Inn
95,Auki,SB,82.9,-8.7676,160.7034,No hotel found
96,Sampit,ID,85.69,-2.5333,112.95,Hotel Sultan
97,Funadhoo,MV,81.01,6.15,73.2667,No hotel found
98,Emerald,AU,88.34,-23.5333,148.1667,Emerald Central Hotel
