,City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Polonnaruwa,LK,7.9333,81.0,83.79,61,78,5.53,broken clouds
1,Bredasdorp,ZA,-34.5322,20.0403,69.75,89,55,6.58,broken clouds
2,Woodway,US,31.506,-97.205,44.11,69,0,5.75,clear sky
3,Ahipara,NZ,-35.1667,173.1667,70.52,78,75,7.61,broken clouds
4,Rikitea,PF,-23.1203,-134.9692,74.23,68,85,6.55,overcast clouds
5,Avarua,CK,-21.2078,-159.775,77.05,94,75,14.97,light rain
6,Ostrovnoy,RU,68.0531,39.5131,22.75,90,100,19.91,overcast clouds
7,Sur,OM,22.5667,59.5289,76.41,43,0,14.36,clear sky
8,Mata,PT,40.683,-7.4592,49.93,95,100,7.63,overcast clouds
9,Kapaa,US,22.0752,-159.319,77.32,85,0,5.75,clear sky
10,Butaritari,KI,3.0707,172.7902,81.36,75,10,6.51,light rain
11,Alamogordo,US,32.8995,-105.9603,39.4,55,40,4.61,scattered clouds
12,Ushuaia,AR,-54.8,-68.3,44.26,65,0,11.5,clear sky
13,Castro,BR,-24.7911,-50.0119,55.15,98,22,7.85,few clouds
14,Thompson,CA,55.7435,-97.8558,23.16,100,100,10.36,overcast clouds
15,Ust-Kan,RU,50.9276,84.761,1.36,77,8,3.49,clear sky
16,Saldanha,ZA,-33.0117,17.9442,67.44,87,47,6.98,scattered clouds
17,Paso De Carrasco,UY,-34.8603,-56.0522,72.95,56,0,9.22,clear sky
18,Tibiao,PH,11.2915,122.0354,85.6,68,79,4.12,broken clouds
19,Kaitangata,NZ,-46.2817,169.8464,62.1,77,30,7.85,scattered clouds
20,Richards Bay,ZA,-28.783,32.0377,76.44,90,54,6.69,broken clouds
21,Mataura,NZ,-46.1927,168.8643,63.48,47,42,3.29,scattered clouds
22,Busselton,AU,-33.65,115.3333,80.19,40,9,2.21,clear sky
23,Saint-Philippe,RE,-21.3585,55.7679,80.19,77,30,10.25,scattered clouds
24,Sibiti,CG,-3.6819,13.3499,66.4,95,100,0.94,overcast clouds
25,East London,ZA,-33.0153,27.9116,67.14,88,20,5.75,few clouds
26,Airai,TL,-8.9266,125.4092,73.04,66,92,2.33,overcast clouds
27,Santa Cruz,BO,-17.8,-63.1667,78.26,83,71,10.36,broken clouds
28,Sibu,MY,2.3,111.8167,86.31,70,20,1.14,few clouds
29,Rocky Mountain House,CA,52.3668,-114.9188,6.91,85,70,2.3,broken clouds
30,Kropotkin,RU,45.4375,40.5756,36.97,87,100,11.61,overcast clouds
31,Hermanus,ZA,-34.4187,19.2345,67.8,88,56,9.26,broken clouds
32,Vila Velha,BR,-20.3297,-40.2925,73.35,77,100,5.75,overcast clouds
